id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max,greek_letters,spect_desig,color,linecolor
68848,69068.0,123782.0,5300.0,,13    Boo,,14.138145,49.458167,168.3502,-59.54,60.28,-13.0,5.26,-0.871,M2III,1.637,-92.727228,-58.104765,127.934546,1.32e-05,6.562e-05,2.187e-05,3.701357649241928,0.8632078571497525,-2.886580654e-07,2.92245686e-07,,13.0,Boo,1,68848,,194.2674323031491,CF,5.289,5.209,,M,#FF2620,#FF2620
68870,69090.0,122862.0,5279.0,Gl 539.1,,,14.14099,-74.850285,28.4981,-242.32,180.31,-22.1,6.02,3.746,G1V,0.581,-6.308201,-3.959151,-27.507493,-3.316e-05,1.871e-05,2.833e-05,3.702102641495531,-1.3063839200339638,-1.1748005107e-06,8.74167547e-07,,,Aps,1,68870,,2.764394371220335,,,,,G,#FFD423,#FFD423
68887,69107.0,123977.0,5302.0,,,,14.146143,59.337649,119.7605,-123.18,-20.76,11.0,6.47,1.078,K0III,1.023,-51.68608,-32.538208,103.016577,-5.173e-05,5.194e-05,3.53e-06,3.7034516195569473,1.03563733933595,-5.971934917e-07,-1.0064732e-07,,,UMa,1,68887,,32.27007687515532,,,,,K,#F99220,#F99220
68892,69112.0,124547.0,5321.0,,4    UMi,,14.147498,77.547514,140.056,-30.36,33.39,6.0,4.8,-0.932,K3III,1.368,-25.551841,-16.098449,136.761257,6.62e-06,2.854e-05,1.088e-05,3.7038062010924575,1.3534594484437612,-1.471894334e-07,1.61879287e-07,,4.0,UMi,1,68892,,205.49440413453036,,,,,K,#F99220,#F99220
68893,69113.0,123445.0,5294.0,,,,14.147748,-43.470779,161.0306,-19.25,-17.44,-2.0,6.19,0.155,B9V,-0.056,-98.871891,-62.301988,-110.786551,1.17e-06,1.85e-05,-8.47e-06,3.703871635391957,-0.7587082168256687,-9.33266335e-08,-8.4551505e-08,,,Cen,1,68893,,75.50922276654337,,,,,B,#93C2F1,#93C2F1
68902,69122.0,123335.0,5292.0,,,,14.148961,-59.276712,381.6794,-12.51,-17.04,-2.0,6.34,-1.568,B5IV,0.031,-164.942813,-104.008323,-328.108653,1.146e-05,3.459e-05,-1.435e-05,3.704189297310825,-1.0345737878571963,-6.06501914e-08,-8.2612251e-08,,,Cen,1,68902,,369.1475581654127,V883,6.354,6.324,,B,#93C2F1,#93C2F1
68907,69127.0,123630.0,5298.0,,96    Vir,,14.150165,-10.334546,127.2265,-6.24,21.73,-20.0,6.45,0.927,G8III,1.003,-105.850385,-66.79301,-22.823819,1.293e-05,1.271e-05,1.685e-05,3.7045045242917305,-0.180371858187395,-3.02523736e-08,1.05350012e-07,,96.0,Vir,1,68907,,37.08514658756861,,,,,G,#FFD423,#FFD423
68954,69174.0,123515.0,5296.0,,,,14.159734,-51.504672,251.2563,-32.69,-10.97,5.0,5.96,-1.041,B9IV,-0.053,-132.054328,-83.791182,-196.648018,-1.519e-05,3.752e-05,-1.232e-05,3.707009754251069,-0.8989261063605251,-1.584855921e-07,-5.318406e-08,,,Cen,1,68954,,227.1956437735269,V869,5.993,5.933,,B,#93C2F1,#93C2F1
68971,69191.0,123569.0,5297.0,,,,14.165242,-53.438946,55.9284,-144.17,-90.54,-16.0,4.74,1.002,G8III,0.938,-28.104578,-17.889697,-44.922838,3.87e-06,4.88e-05,-1.48e-06,3.7084517751360218,-0.9326855528151776,-6.989558832e-07,-4.38950306e-07,,,Cen,1,68971,,34.60987254853528,,,,,G,#FFD423,#FFD423
69004,69226.0,123999.0,5304.0,Wo 9470,12    Boo,,14.173315,25.091677,37.4251,-23.02,-60.07,10.8,4.82,1.954,F9IVw,0.541,-28.553661,-18.260634,15.870824,-1.457e-05,-4.36e-06,-5.19e-06,3.710565258464044,0.4379323757587012,-1.116041092e-07,-2.91227577e-07,,12.0,Boo,1,69004,,14.401243711755706,,,,,F,#d4bf94,#d4bf94
69019,69241.0,123377.0,5293.0,,,,14.175252,-70.305464,,-5.89,-5.84,-1.0,6.07,-13.93,K4II,1.718,-28381.990645,-18171.115841,-94150.269009,0.00070552,0.00384207,-0.00095312,3.711072334139149,-1.2270618367397823,-2.85555257e-08,-2.8313118e-08,,,Cir,1,69019,,32508729.738543477,,,,,K,#F99220,#F99220
69047,69269.0,123934.0,5301.0,,,,14.18069,-16.30203,141.2429,3.82,-10.87,18.0,4.93,-0.82,M1III,1.684,-114.065691,-73.257993,-39.647028,-1.17e-05,-1.062e-05,-1.231e-05,3.712496079048973,-0.2845240981184112,1.85198825e-08,-5.2699247e-08,,,Vir,1,69047,,185.35316234148124,ET,4.965,4.875,,M,#FF2620,#FF2620
69076,69298.0,123492.0,5295.0,,,,14.183865,-69.719318,69.4927,-31.27,-20.52,-3.0,6.07,1.86,A6IV,0.19,-20.256754,-13.033497,-65.184534,6.5e-07,1.294e-05,4.8e-07,3.713327174489168,-1.2168316444829612,-1.516012379e-07,-9.9483767e-08,,,Cir,1,69076,,15.703628043335524,,,,,A,#f3e8d3,#f3e8d3
69094,69316.0,124186.0,5310.0,,,,14.187534,32.295892,110.742,-22.19,38.38,-22.0,6.14,0.918,K4III,1.258,-78.67398,-50.727197,59.168431,1.878e-05,2.628e-05,5.4e-06,3.714287795673637,0.5636696561255375,-1.075801557e-07,1.8607149e-07,,,Boo,1,69094,,37.39383436431516,,,,,K,#F99220,#F99220
69118,69340.0,124115.0,5307.0,,,,14.192001,1.362399,44.4444,-128.36,31.08,-18.0,6.42,3.181,F7V,0.479,-37.314134,-24.121136,1.056711,5.8e-07,3.33e-05,6.26e-06,3.715457139815147,0.0237783434507962,-6.223068403e-07,1.50680091e-07,,,Vir,1,69118,,4.651574703021662,,,,,F,#d4bf94,#d4bf94
69151,69373.0,124730.0,5334.0,,,,14.201122,69.432548,131.2336,-26.12,-49.53,-23.0,5.18,-0.41,M2III,1.595,-38.658394,-25.121085,122.86848,-2.686e-05,2.36e-06,-3.309e-05,3.717844971958333,1.211826574878119,-1.266333333e-07,-2.40128215e-07,,,UMi,1,69151,,127.0574105208542,,,,,M,#FF2620,#FF2620
